rank,ticker,company_name,sector,industry,exchange,market_cap,market_data_date,price,return_1d,return_5d,return_21d,spy_relative_21d,sector_etf,sector_etf_return_21d,sector_relative_21d,volume_ratio_5d_vs_prev20d,avg_dollar_volume_20d,volatility_ratio_20d_vs_prev120d,max_daily_move_21d,max_gap_21d,distance_from_52w_high,distance_from_52w_low,trigger_conditions,trigger_count,selection_reason,signal_score,first_trigger_date,trigger_days_last_5,trigger_days_last_10,consecutive_trigger_days,rank_previous,rank_change,new_entry,persistent_signal
65,RLAY,"Relay Therapeutics, Inc.",Healthcare,,NGM,4082022400.00000000,2026-07-10,20.00499916,-0.03590365,0.07265413,0.41980120,0.39551516,XLV,0.04056407,0.37923713,0.87309428,83058053.72873306,0.86044372,0.08816124,0.03674770,-0.03590365,5.21273260,spy_relative;sector_relative;single_day_move,3,threshold,10.94390000,2026-07-10,1,1,1,,,True,False
66,ORKA,"Oruka Therapeutics, Inc.",Healthcare,,NGM,5099991040.00000000,2026-07-10,86.79000092,-0.01676669,0.01854245,0.29672793,0.27244189,XLV,0.04056407,0.25616386,0.63098736,153524322.91038513,1.11344030,0.18025991,0.11971253,-0.08805293,5.65057469,spy_relative;sector_relative;single_day_move;gap,4,threshold,10.89290000,2026-07-10,2,2,2,52.00000000,-14.00000000,True,False
67,JBIO,"Jade Biosciences, Inc.",Healthcare,,NCM,1296315264.00000000,2026-07-10,20.95000076,-0.06806045,-0.02603438,0.37647834,0.35219231,XLV,0.04056407,0.33591427,0.61432069,26858850.05720615,1.20031819,0.15636154,0.06420927,-0.21973928,2.09453483,spy_relative;sector_relative;single_day_move,3,threshold,10.83510000,2026-07-10,2,2,2,86.00000000,19.00000000,True,False
68,AMPX,"Amprius Technologies, Inc.",Industrials,,NYQ,1566396544.00000000,2026-07-10,11.52999973,-0.02946131,-0.06865916,-0.33811713,-0.36240316,XLI,0.03599084,-0.37410797,0.92970838,102399056.68310165,0.81909385,0.11331441,0.04576854,-0.49672633,0.81289300,spy_relative;sector_relative;single_day_move,3,threshold,10.82520000,2026-07-10,2,2,2,102.00000000,34.00000000,True,False
69,ACMR,"ACM Research, Inc.",Technology,,NGM,6501820928.00000000,2026-07-10,103.00000000,-0.02866844,0.05349293,0.26644532,0.24215928,XLK,0.02771474,0.23873057,0.66281817,196569683.44741821,1.50151846,0.16550023,0.09980257,-0.18827330,3.30602005,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,10.80220000,2026-07-10,2,2,2,108.00000000,39.00000000,True,False
70,ERAS,"Erasca, Inc.",Healthcare,,NMS,5566623232.00000000,2026-07-10,18.53000069,-0.03388945,0.00324859,0.38180469,0.35751865,XLV,0.04056407,0.34124062,0.76336124,93363449.19864178,0.60494494,0.14241103,0.04721036,-0.17534485,12.33093588,spy_relative;sector_relative;single_day_move,3,threshold,10.76890000,2026-07-10,2,2,2,122.00000000,52.00000000,True,False
71,CGEM,"Cullinan Therapeutics, Inc.",Healthcare,,NMS,1098255360.00000000,2026-07-10,18.12999916,-0.01360174,0.02836075,0.37556895,0.35128291,XLV,0.04056407,0.33500488,0.44094638,21113149.59037304,1.06440660,0.15103124,0.02890174,-0.01893942,2.15304333,spy_relative;sector_relative;single_day_move,3,threshold,10.73620000,2026-07-10,2,2,2,61.00000000,-10.00000000,True,False
72,FOX,Fox Corporation,Communication Services,,NMS,21087410176.00000000,2026-07-10,48.75000000,0.00639970,-0.03579908,-0.19950741,-0.22379345,XLC,0.00143520,-0.20094261,0.42102192,146268967.83418655,2.32543002,0.15215541,0.11693821,-0.28054902,0.09822033,spy_relative;sector_relative;volatility;single_day_move;gap,5,threshold,10.70370000,2026-07-10,2,2,2,44.00000000,-28.00000000,True,False
73,BCAX,Bicara Therapeutics Inc.,Healthcare,,NGM,1849563776.00000000,2026-07-10,28.90999985,-0.02594341,-0.00310345,0.40612843,0.38184240,XLV,0.04056407,0.36556436,0.87284565,28698366.41486168,0.99155284,0.09192405,0.01832461,-0.04901315,1.89389394,spy_relative;sector_relative;single_day_move,3,threshold,10.65580000,2026-07-10,2,2,2,147.00000000,74.00000000,True,False
74,LFST,"LifeStance Health Group, Inc.",Healthcare,,NMS,4154358784.00000000,2026-07-10,10.70499992,-0.00879632,-0.05013314,0.39751960,0.37323356,XLV,0.04056407,0.35695553,0.86517650,43909387.86860466,1.03062485,0.09541979,0.01376143,-0.06342960,1.82453827,spy_relative;sector_relative;single_day_move,3,threshold,10.49050000,2026-07-10,2,2,2,143.00000000,69.00000000,True,False
